Estacao,Date,Data2,Day,Hora,Precipitacao,total_precip,TempMaxima,TempMinima,min temp,Temp Comp Media,Umidade Relativa Media
83743,10/07/2002,,,1200,0,,,20.4,,,
83743,11/07/2002,,,0,,0,23.9,,,21.82,81.5
83743,11/07/2002,,,1200,0,,,20.6,,,
83743,12/07/2002,,,0,,0,24,,,20.72,85.75
83743,12/07/2002,,,1200,12,,,19,,,
83743,13/07/2002,,,0,,12,21.2,,,20.3,75.75
83743,13/07/2002,,,1200,2,,,19.8,,,
83743,14/07/2002,,,0,,2,21.5,,,19.16,73.25
83743,14/07/2002,,,1200,0,,,17.4,,,
83743,15/07/2002,,,0,,0,24.3,,,20.9,74.5
83743,15/07/2002,,,1200,0,,,18,,,
83743,16/07/2002,,,0,,0,26.4,,,22.68,79.25
83743,16/07/2002,,,1200,0,,,19.5,,,
83743,17/07/2002,,,0,,0,23.7,,,21.06,74.5
83743,17/07/2002,,,1200,0,,,19.5,,,
83743,18/07/2002,,,0,,0,20.8,,,18.76,84.25
83743,18/07/2002,,,1200,0.4,,,17.8,,,
83743,19/07/2002,,,0,,0.4,24.8,,,19.76,74.75
83743,19/07/2002,,,1200,2.4,,,16.4,,,
83743,20/07/2002,,,0,,2.4,26.5,,,21.42,72
83743,20/07/2002,,,1200,0,,,17.3,,,
83743,21/07/2002,,,0,,0,26.6,,,21.72,72.25
83743,21/07/2002,,,1200,0,,,18.2,,,
83743,22/07/2002,,,0,,0,29.4,,,24.24,61.75
83743,22/07/2002,,,1200,0,,,19.3,,,
83743,23/07/2002,,,0,,0,28.3,,,24.18,68.5
83743,23/07/2002,,,1200,2.5,,,22.6,,,
83743,24/07/2002,,,0,,2.5,28,,,23.3,80.75
83743,24/07/2002,,,1200,0,,,21.5,,,
83743,25/07/2002,,,0,,0,29.5,,,23.78,76.25
83743,25/07/2002,,,1200,0,,,20.4,,,
83743,26/07/2002,,,0,,0,28.1,,,22.54,76.75
83743,26/07/2002,,,1200,0,,,19.4,,,
83743,27/07/2002,,,0,,0,31.6,,,25.1,67.75
83743,27/07/2002,,,1200,0,,,20.1,,,
83743,28/07/2002,,,0,,0,26.2,,,21.6,72.5
83743,28/07/2002,,,1200,0.8,,,19.5,,,
83743,29/07/2002,,,0,,0.8,21.7,,,20.08,69.75
83743,29/07/2002,,,1200,0.6,,,18.4,,,
83743,30/07/2002,,,0,,0.6,27.3,,,21.84,68.25
83743,30/07/2002,,,1200,0,,,18.2,,,
83743,31/07/2002,,,0,,0,32.2,,,22.86,71.75
83743,31/07/2002,,,1200,0,,,18.5,,,
83743,01/08/2002,,,0,,0,27.8,,,23.72,72
83743,01/08/2002,,,1200,0,,,20.4,,,
